局数,龙,和,虎,赢,下注(龙),下注(虎)
488,3000,2000,7000,虎,2000,0
489,7000,0,3000,龙,0,2000
490,4500,0,2000,龙,0,1000
491,3000,900,1000,龙,0,0
492,5000,900,2000,和,0,1000
493,1000,0,2000,虎,0,0
494,4000,1000,2000,龙,0,1000
495,8000,400,4000,龙,0,3000
496,4000,300,2000,虎,0,1000
497,1000,0,1000,和,0,0
498,4000,0,1000,龙,0,0
499,2700,500,1000,虎,0,0
500,2400,500,1700,龙,0,0
501,1300,0,1000,虎,0,0
502,4000,500,2000,龙,0,1000
503,1000,400,3000,龙,0,0
504,2000,500,6000,虎,1000,0
505,1000,900,3000,虎,0,0
506,1000,900,4000,虎,0,0
507,24000,1000,2000,虎,0,6000
508,22800,2000,16000,龙,0,11000
509,21300,2000,43500,龙,12000,0
510,13000,1000,4300,虎,0,3000
511,17000,2000,6600,虎,0,5000
512,45000,4000,112200,虎,6000,0
513,416800,2000,93900,龙,0,18000
514,205700,0,13000,龙,0,12000
515,25000,9300,103000,龙,24000,0
516,13000,400,301000,龙,12000,0
517,19000,0,507000,龙,18000,0
518,13300,200000,120100,虎,12000,0
519,26100,0,244000,虎,24000,0
520,13000,0,410000,虎,12000,0
521,121000,0,11000,龙,0,6000
522,13000,0,201000,虎,12000,0
523,13000,0,102600,龙,12000,0
524,1000,0,1000,虎,0,0
525,13000,2000,101200,虎,12000,0
526,201200,0,20000,虎,0,18000
527,2500,100,3100,龙,0,0
528,16000,100,9000,龙,0,7000
529,5200,0,1000,虎,0,0
530,5200,0,5000,虎,2000,0
531,2600,100,5100,龙,0,0
532,3600,0,3000,龙,0,0
533,2200,1000,1000,虎,0,0
534,19000,0,35600,龙,18000,0
535,4500,0,2400,龙,0,1000
536,4900,0,3000,虎,0,2000
537,9000,0,14100,虎,7000,0
538,11200,0,6900,龙,0,3000
539,10900,0,6900,虎,1000,0
540,14000,100,23500,龙,6000,2000
541,7000,700,9100,虎,6000,0
542,12000,0,10000,虎,0,9000
543,9000,0,15900,龙,8000,0
544,2000,0,1000,龙,0,0
545,1000,1000,2900,虎,0,0
546,9300,0,8700,龙,0,7000
547,4600,0,2000,虎,0,1000
548,1000,0,1000,龙,0,0
549,2000,0,1000,虎,0,0
550,1000,0,2000,虎,0,0
551,1000,0,2900,虎,0,0
552,2000,0,4800,虎,1000,0
553,1400,0,3000,虎,0,0
554,3000,0,3000,龙,0,0
555,7200,0,5000,虎,0,0
556,3000,200,1000,虎,0,0
557,3000,100,1000,虎,0,0
558,11000,1200,6000,龙,0,5000
559,1000,200,1000,龙,0,0
560,12000,500,6000,龙,0,5000
561,3100,0,1200,虎,0,0
562,2000,0,4900,虎,1000,0
563,4000,0,2000,虎,0,1000
564,3000,0,6700,虎,2000,0
565,3000,0,1000,龙,0,0
566,6000,0,3000,虎,0,2000
567,4000,0,7000,龙,3000,0
568,1000,0,1000,虎,0,0
569,1000,0,1000,龙,0,0
570,1000,0,1000,虎,0,0
571,1400,0,2800,虎,0,0
572,4600,0,3000,虎,0,2000
573,2400,0,1400,龙,0,0
574,2500,0,2400,虎,0,0
575,4500,0,6700,龙,0,0
576,5000,0,7300,龙,4000,0
577,1400,0,1000,龙,0,0
578,1700,0,1000,龙,0,0
579,2500,0,3200,虎,0,0
580,1000,0,3300,虎,0,0
581,3800,0,1300,虎,0,0
582,1000,0,1300,龙,0,0
583,1600,0,1000,龙,0,0
584,1300,0,1000,龙,0,0
585,1400,0,1000,和,0,0
586,2700,0,1000,虎,0,0
587,1000,0,1000,龙,0,0
588,2000,0,1000,龙,0,0
589,1000,0,3000,龙,0,0
590,1000,0,1000,虎,0,0
591,1000,1000,1000,虎,0,0
592,1500,0,1100,龙,0,0
593,2000,0,1000,龙,0,0
594,2900,0,1000,虎,0,0
595,1000,0,1000,龙,0,0
596,1000,100,1000,龙,0,0
597,1000,0,1000,和,0,0
598,1000,0,1000,虎,0,0
599,1000,0,1000,虎,0,0
600,2500,0,1000,虎,0,0
601,1000,0,1000,龙,0,0
602,1000,0,1000,虎,0,0
603,1000,20000,1000,龙,0,0
604,1000,0,1000,龙,0,0
605,13000,0,7000,虎,0,6000
606,1000,0,2600,龙,0,0
607,1000,0,1000,龙,0,0
608,1000,0,1000,虎,0,0
609,1000,0,1100,龙,0,0
610,2000,0,1200,龙,0,0
611,200900,0,6400,虎,0,6000
612,1000,0,1000,龙,0,0
613,9001000,0,13000,龙,0,12000
614,14901000,0,13000,和,0,12000
615,7001000,0,13000,虎,0,12000
616,1000,0,2000,龙,0,0
617,1000,0,1000,龙,0,0
618,1000,0,1000,虎,0,0
619,1000,0,1000,虎,0,0
620,1000,0,1000,虎,0,0
621,1000,0,1000,龙,0,0
622,1000,0,1000,虎,0,0
623,1000,0,1000,虎,0,0
624,1000,0,1500,龙,0,0
625,1500,0,1000,龙,0,0
626,4000,0,2000,龙,0,1000
627,2900,0,6000,龙,1000,0
628,2000,0,1000,龙,0,0
629,4100,0,2000,虎,0,1000
630,2700,0,1000,龙,0,0
631,2000,0,4300,虎,1000,0
632,19600,0,207500,虎,18000,0
633,1000,0,1000,虎,0,0
634,7000,0,13800,虎,6000,0
635,13000,0,22000,和,12000,0
636,1000,0,1000,龙,0,0
637,1000,0,1000,龙,0,0
638,1000,0,1000,龙,0,0
639,1000,0,1000,虎,0,0
640,1000,0,2000,龙,0,0
641,1000,0,2000,龙,0,0
642,1000,0,1000,龙,0,0
643,21000,0,15000,虎,0,14000
644,6000,0,24200,龙,7000,0
645,1000,20900,1000,龙,0,0
646,1000,0,1000,龙,0,0
647,1200,0,1000,虎,0,0
648,1000,0,1000,龙,0,0
649,1000,400,1000,龙,0,0
650,1000,0,1000,和,0,0
651,1000,0,1000,龙,0,0
652,1000,0,1000,虎,0,0
653,1000,0,1000,龙,0,0
654,1000,0,1000,虎,0,0
655,1000,0,1000,龙,0,0
656,1100,0,1000,龙,0,0
657,1200,0,1000,虎,0,0
658,1000,0,1000,龙,0,0
659,1400,0,1000,龙,0,0
